,ticker,type,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
American,AAL,network,10.51,10.95,11.28,11.44,10.8,11.96,10.76,9.43,9.84,9.97,10.73,11.71,12.05,12.63,11.6,12.8,13.57,14.13,14.47,14.85,13.75,13.13,13.69
Delta,DAL,network,8.84,9.02,9.28,9.42,9.3,9.69,8.62,8.48,10.63,9.65,9.16,10.46,11.7,12.92,11.7,12.85,13.98,14.7,14.91,15.36,14.82,14.09,14.55
United,UAL,network,9.84,10.37,10.63,10.46,10.37,11.27,9.78,9.49,9.63,10.1,11.05,11.84,12.68,13.37,11.5,14.09,15.45,15.42,15.87,16.36,15.6,14.57,14.46
Southwest,LUV,lcc,5.37,5.72,5.91,6.08,6.31,6.83,6.21,5.95,6.14,6.31,6.72,7.4,7.49,8.04,7.93,9.19,9.9,10.16,10.37,10.96,11.16,11.02,11
jetBlue,JBLU,lcc,-,-,-,-,-,7.19,7.62,8.37,8.13,7.49,7.92,8.4,8.7,10.05,9.43,10.15,11.16,11.44,11.66,11.91,12.15,11.55,11.49
Virgin America,,lcc,-,-,-,-,-,-,-,-,-,-,-,-,1.96,8.79,8.97,10.84,12.07,12.11,12.68,13.1,12.77,12.23,11.77
Alaska,ALK,other,7.25,7.57,8.11,8.09,8.37,9,8.61,8.34,8.53,8.78,9.42,10.1,10.18,10.75,10.63,11.56,12.51,12.97,13.43,13.04,12.36,11.93,12.16
Hawaiian,HA,other,4.52,4.7,4.82,4.86,8.2,5.51,5.49,6.8,7.41,8.13,8.23,8.24,8.19,9.25,8.31,9.16,10.38,10.39,10.53,10.82,10.45,10.78,11.55
Spirit,SAVE,other,7.72,6.77,6.67,7.62,7.22,7.73,8.2,7.52,7.96,7.58,8.05,8.78,8.39,8.77,8.47,8.65,10.1,10.15,10.64,10.6,9.17,8.3,8.28
Allegiant,ALGT,other,-,-,-,-,-,-,-,-,-,8.54,8.29,8.01,8.46,10.04,7.87,8.26,9.21,9.38,9.66,9.92,8.94,8.08,8.05
